,Job Title,Salary Estimate,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue,hourly,Employer_provided,min_salary,max_salary,avg_salary,company_txt,job_state,age
34,Data Scientist,$88K - $131K (Glassdoor est.),4.9,"Wise Equation Solutions
4.9","Austin, TX",51 to 200 Employees,2006,Company - Private,Information Technology Support Services,Information Technology,$5 to $25 million (USD),0,0,88.0,131.0,109.5,"Wise Equation Solutions
", TX,17
35,Data Scientist Co-Op - Masters Degree - Fall 2023,Employer Provided Salary:$31.00 - $37.00 Per Hour,4.3,"Torc Robotics
4.3","Austin, TX",501 to 1000 Employees,2007,Company - Private,Software Development,Information Technology,$25 to $100 million (USD),1,1,31.0,37.0,34.0,"Torc Robotics
", TX,16
36,Healthcare Data Scientist,Employer Provided Salary:$85K - $98K,5.0,"Lown Institute
5.0",Remote,Unknown,-1,Nonprofit Organization,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,0,1,85.0,98.0,91.5,"Lown Institute
",remote,-1
37,Sr Data Scientist,Employer Provided Salary:$160K - $241K,4.1,"f5
4.1","San Jose, CA",5001 to 10000 Employees,1996,Company - Public,Computer Hardware Development,Information Technology,$1 to $5 billion (USD),0,1,160.0,241.0,200.5,"f5
", CA,27
38,"Data Scientist, Data Product",$83K - $114K (Glassdoor est.),4.2,"Syracuse University
4.2","Syracuse, NY",1001 to 5000 Employees,1870,College / University,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,83.0,114.0,98.5,"Syracuse University
", NY,153
39,Data Scientist/Statistician,$119K - $172K (Glassdoor est.),4.0,"University of California San Francisco
4.0","San Francisco, CA",10000+ Employees,1864,College / University,Colleges & Universities,Education,$25 to $100 million (USD),0,0,119.0,172.0,145.5,"University of California San Francisco
", CA,159
40,Junior Data Scientist - REMOTE,$71K - $108K (Glassdoor est.),4.1,"ACLED
4.1","Washington, DC",Unknown,-1,Contract,Civic & Social Services,Nonprofit & NGO,Unknown / Non-Applicable,0,0,71.0,108.0,89.5,"ACLED
", DC,-1
41,Sr. Data Scientist,Employer Provided Salary:$93K - $147K,3.6,"TARGET
3.6","Minneapolis, MN",10000+ Employees,1962,Company - Public,General Merchandise & Superstores,Retail & Wholesale,$10+ billion (USD),0,1,93.0,147.0,120.0,"TARGET
", MN,61
42,Data Scientist I,$96K - $133K (Glassdoor est.),4.1,"Navy Federal Credit Union
4.1","Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,96.0,133.0,114.5,"Navy Federal Credit Union
", VA,90
43,Data Scientist II- Telecommute Opportunity,Employer Provided Salary:$145K,3.5,"Dataminr
3.5",Remote,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,145.0,145.0,145.0,"Dataminr
",remote,14
44,Data Scientist,Employer Provided Salary:$183K,4.4,"SAP
4.4","Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,1,183.0,183.0,183.0,"SAP
", CA,51
45,Data Scientist,$107K - $157K (Glassdoor est.),3.9,"Surya Systems
3.9","San Francisco, CA",1 to 50 Employees,-1,Company - Private,Computer Hardware Development,Information Technology,Less than $1 million (USD),0,0,107.0,157.0,132.0,"Surya Systems
", CA,-1
46,Data Scientist,Employer Provided Salary:$61K - $147K,3.9,"PayPal
3.9","San Jose, CA",10000+ Employees,1998,Company - Public,Internet & Web Services,Information Technology,$10+ billion (USD),0,1,61.0,147.0,104.0,"PayPal
", CA,25
47,Data Scientist I,$96K - $133K (Glassdoor est.),4.1,"Navy Federal Credit Union
4.1","Vienna, VA",10000+ Employees,1933,Self-employed,Banking & Lending,Financial Services,Unknown / Non-Applicable,0,0,96.0,133.0,114.5,"Navy Federal Credit Union
", VA,90
48,Data Scientist II- Telecommute Opportunity,Employer Provided Salary:$145K,3.5,"Dataminr
3.5",Remote,501 to 1000 Employees,2009,Company - Private,Internet & Web Services,Information Technology,Unknown / Non-Applicable,0,1,145.0,145.0,145.0,"Dataminr
",remote,14
49,Data Scientist,$88K - $123K (Glassdoor est.),3.5,"Samsung Austin Semiconductor
3.5","Austin, TX",1001 to 5000 Employees,1996,Subsidiary or Business Segment,Electronics Manufacturing,Manufacturing,Unknown / Non-Applicable,0,0,88.0,123.0,105.5,"Samsung Austin Semiconductor
", TX,27
50,Marketing Data Scientist,Employer Provided Salary:$153K - $169K,3.6,"Sephora USA
3.6","San Francisco, CA",10000+ Employees,1969,Company - Private,Beauty & Personal Accessories Stores,Retail & Wholesale,$1 to $5 billion (USD),0,1,153.0,169.0,161.0,"Sephora USA
", CA,54
51,Data Scientist,Employer Provided Salary:$116K - $151K,3.8,"U.S. Army Training and Doctrine Command
3.8","Fort Benning, GA",10000+ Employees,1775,Government,National Agencies,Government & Public Administration,Unknown / Non-Applicable,0,1,116.0,151.0,133.5,"U.S. Army Training and Doctrine Command
", GA,248
52,Sr Data Instrumentation Scientist,Employer Provided Salary:$136K - $182K,3.9,"Disney
3.9","Santa Monica, CA",10000+ Employees,1923,Company - Public,Film Production,Media & Communication,$10+ billion (USD),0,1,136.0,182.0,159.0,"Disney
", CA,100
53,Sr Data Scientist-AI/ML (remote),Employer Provided Salary:$110K - $159K,3.7,"MultiPlan Inc.
3.7",Remote,1001 to 5000 Employees,1980,Company - Public,Health Care Services & Hospitals,Healthcare,Unknown / Non-Applicable,0,1,110.0,159.0,134.5,"MultiPlan Inc.
",remote,43
54,Jr. Data Scientist,$91K - $131K (Glassdoor est.),3.5,"Kyla
3.5","San Jose, CA",1 to 50 Employees,-1,Company - Private,#N/A,#N/A,Unknown / Non-Applicable,0,0,91.0,131.0,111.0,"Kyla
", CA,-1
55,Data Scientist,$90K - $124K (Glassdoor est.),4.2,"Yale University
4.2","New Haven, CT",10000+ Employees,1701,Nonprofit Organization,Colleges & Universities,Education,$1 to $5 billion (USD),0,0,90.0,124.0,107.0,"Yale University
", CT,322
56,Junior Data Scientist,Employer Provided Salary:$112K - $179K,3.6,"Peraton
3.6","Columbia, MD",10000+ Employees,2017,Company - Private,Information Technology Support Services,Information Technology,$5 to $10 billion (USD),0,1,112.0,179.0,145.5,"Peraton
", MD,6
57,Data Scientist (Junior),$77K - $127K (Glassdoor est.),4.0,"KBR
4.0","Jacksonville, FL",10000+ Employees,1901,Company - Public,Aerospace & Defense,Aerospace & Defense,$5 to $10 billion (USD),0,0,77.0,127.0,102.0,"KBR
", FL,122
58,Data Scientist,$84K - $123K (Glassdoor est.),3.8,"Henry Ford Health
3.8","Southfield, MI",10000+ Employees,1915,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$5 to $10 billion (USD),0,0,84.0,123.0,103.5,"Henry Ford Health
", MI,108
59,Data Scientist,Employer Provided Salary:$183K,4.4,"SAP
4.4","Palo Alto, CA",10000+ Employees,1972,Company - Public,Enterprise Software & Network Solutions,Information Technology,$10+ billion (USD),0,1,183.0,183.0,183.0,"SAP
", CA,51
60,Data Science Analyst - Platform - Remote,Employer Provided Salary:$95K - $134K,3.9,"Mayo Clinic
3.9","Rochester, MN",10000+ Employees,-1,Nonprofit Organization,Health Care Services & Hospitals,Healthcare,$10+ billion (USD),0,1,95.0,134.0,114.5,"Mayo Clinic
", MN,-1
61,Humanities Data Scientist,Employer Provided Salary:$112K - $172K,3.5,"US National Endowment for the Humanities
3.5","Washington, DC",1 to 50 Employees,-1,Nonprofit Organization,Grantmaking & Charitable Foundations,Nonprofit & NGO,$1 to $5 million (USD),0,1,112.0,172.0,142.0,"US National Endowment for the Humanities
", DC,-1
62,Data Scientist,Employer Provided Salary:$140K - $180K,4.3,"PUTNAM RECRUITING GROUP
4.3",Remote,Unknown,-1,Company - Private,Staffing & Subcontracting,Human Resources & Staffing,Unknown / Non-Applicable,0,1,140.0,180.0,160.0,"PUTNAM RECRUITING GROUP
",remote,-1
63,Sr Data Scientist,$113K - $156K (Glassdoor est.),3.7,"Citizens
3.7","Boston, MA",10000+ Employees,1828,Company - Public,Banking & Lending,Financial Services,$5 to $10 billion (USD),0,0,113.0,156.0,134.5,"Citizens
", MA,195
